Easer,0.8,2020-02-12,https://github.com/renyuneyun/Easer,373
Easer (beta),0.8,2020-02-12,https://github.com/renyuneyun/Easer,373
WiGLE WiFi Wardriving FOSS Ⓝ,2.51,2020-02-12,https://github.com/wiglenet/wigle-wifi-wardriving,353
OpenTasks,1.2.4,2020-02-04,https://github.com/dmfs/opentasks,753
Kore,v2.5.0,2020-02-01,https://github.com/xbmc/Kore,389
QKSMS,3.8.1,2020-02-01,https://github.com/moezbhatti/qksms,2903
VPN Hotspot ⓈⓈ,2.7.1,2020-01-29,https://github.com/Mygod/VPNHotspot,898
OpenKeychain,5.5,2020-01-23,https://github.com/open-keychain/open-keychain,1371
XPrivacyLua Ⓐ,1.27,2019-12-28,https://github.com/M66B/XPrivacyLua,999
MPD,0.21.18,2019-12-26,https://github.com/MusicPlayerDaemon/MPD,1137
Transportr,2.0.8,2019-12-25,https://github.com/grote/Transportr,621
Eventyay Attendee Ⓣ,0.9.1,2019-12-20,https://github.com/fossasia/open-event-attendee-android,1458
ConnectBot,1.9.6-oss,2019-12-10,https://github.com/connectbot/connectbot,1495
S. Notes,3.0.17,2019-12-01,https://github.com/standardnotes/mobile,525
Bitcoin Wallet,7.27,2019-11-14,https://github.com/bitcoin-wallet/bitcoin-wallet,2054
Bitcoin Wallet [testnet3],7.27,2019-11-14,https://github.com/bitcoin-wallet/bitcoin-wallet,2054
PassAndroid,3.5.1,2019-11-09,https://github.com/ligi/PassAndroid,522
Lightning,5.1.0,2019-11-02,https://github.com/anthonycr/Lightning-Browser,1583
Trime,3.1.3,2019-10-31,https://github.com/osfans/trime,837
LessPass,9.1.2,2019-10-29,https://github.com/lesspass/lesspass,4283
Travel Mate Ⓝ,5.6.2,2019-10-27,https://github.com/project-travel-mate/Travel-Mate,1092
PSLab,2.0.20,2019-10-22,https://github.com/fossasia/pslab-android,1530
Rocket.Chat,3.5.1,2019-10-12,https://github.com/RocketChat/Rocket.Chat.Android,867
OSMTracker,0.7.2,2019-10-09,https://github.com/labexp/osmtracker-android,383
Xabber Ⓣ,2.6.6.644-open,2019-10-09,https://github.com/redsolution/xabber-android,1708
Eventyay Organizer Ⓣ,1.7.0,2019-09-28,https://github.com/fossasia/open-event-organizer-android,1347
Simple Scrobbler,1.7.0,2019-09-28,https://github.com/simple-last-fm-scrobbler/sls,455
BLE Peripheral Simulator,3.0,2019-09-25,https://github.com/WebBluetoothCG/ble-test-peripheral-android,328
ForkHub Ⓝ,1.2.9,2019-09-19,https://github.com/jonan/ForkHub,2754
Shelter,1.5,2019-09-19,https://github.com/PeterCxy/Shelter,503
Rootless Pixel Launcher,3.9.1,2019-09-11,https://github.com/amirzaidi/Launcher3,3547
FTP Server (Free),3.0.1,2019-09-01,https://github.com/ppareit/swiftp,520
Kodi,18.3,2019-08-24,https://github.com/xbmc/xbmc,10991
Smart Card Reader,2.2,2019-08-11,https://github.com/frankmorgner/vsmartcard,360
Open Note Scanner,1.0.34-fdroid,2019-08-06,https://github.com/ctodobom/OpenNoteScanner,781
Pedometer,1.5.11,2019-07-04,https://github.com/j4velin/Pedometer,1284
Lunary Ⓝ,1.39,2019-06-20,https://github.com/manuelsc/Lunary-Ethereum-Wallet,343
Puzzles,2019-03-26-0844-68363231,2019-06-19,https://github.com/chrisboyle/sgtpuzzles,343
TrebleShot,1.4.2,2019-06-08,https://github.com/trebleshot/android,496
SUSI.AI,1.1.0,2019-05-30,https://github.com/fossasia/susi_android,1940
MIFARE Classic Tool,2.3.1,2019-05-06,https://github.com/ikarus23/MifareClassicTool,1898
Android Samba Client,1.1,2019-05-02,https://github.com/google/samba-documents-provider,433
Mozc for Android ⓐ,2.23.2815.103-arm,2019-04-11,https://github.com/google/mozc,718
Mozilla Stumbler,1.8.8,2019-04-06,https://github.com/mozilla/MozStumbler,589
Materialistic Ⓝ,3.3,2019-04-01,https://github.com/hidroh/materialistic,2038
Sipdroid,4.4 beta,2019-03-22,https://github.com/i-p-tel/sipdroid,388
Clover,v3.0.2,2019-03-15,https://github.com/chandevel/Clover,692
Night Screen,2.2.0,2019-03-15,https://github.com/fython/Blackbulb,313
oandbackup,0.3.5-universal,2019-03-15,https://github.com/jensstein/oandbackup,430
Nock Nock Ⓢ,0.8.1,2019-03-13,https://github.com/afollestad/nock-nock,317
T-UI,v6.15,2019-02-22,https://github.com/fAndreuzzi/TUI-ConsoleLauncher,767
Limbo x86 PC Emulator,3.0.1-x86-beta,2019-02-06,https://github.com/limboemu/limbo,666
2048,2.2,2019-02-03,https://github.com/uberspot/2048-android,881
Yalp Store Ⓝ,0.45-legacy,2019-01-29,https://github.com/yeriomin/YalpStore,1932
AppOpsX,1.2.5,2019-01-27,https://github.com/8enet/AppOpsX,396
PDF Converter ⓈⓈ,8.5.6,2019-01-13,https://github.com/Swati4star/Images-to-PDF,439
Mysplash ⓃⓈⓈ,3.4.8,2019-01-07,https://github.com/WangDaYeeeeee/Mysplash,645
